time,x,y,button,pressed,abnormal
1734362858.7325532,276,515,Button.left,True,False
1734362858.8281906,269,526,Button.left,False,False
1734362858.9482152,267,541,Button.left,True,False
1734362859.0367396,271,554,Button.left,False,False
1734362859.1705077,281,560,Button.left,True,False
1734362859.2524745,295,565,Button.left,False,False
1734362859.3963656,308,556,Button.left,True,False
1734362859.5202289,309,547,Button.left,False,False
1734362859.6444323,309,531,Button.left,True,False
1734362859.7527745,308,527,Button.left,False,False
1734362859.8684468,305,526,Button.left,True,False
1734362859.9526656,296,538,Button.left,False,False
1734362860.0844088,287,557,Button.left,True,False
1734362860.1640973,284,570,Button.left,False,False
1734362860.275839,297,574,Button.left,True,False
1734362860.388531,315,576,Button.left,False,False
1734362860.5155344,330,574,Button.left,True,False
1734362860.6204228,331,561,Button.left,False,False
1734362860.7391558,325,535,Button.left,True,False
1734362860.8602116,319,534,Button.left,False,False
1734362860.9946544,285,532,Button.left,True,False
1734362861.066588,279,536,Button.left,False,False
1734362861.1804557,276,546,Button.left,True,False
1734362861.2917166,276,560,Button.left,False,False
1734362861.4040763,284,569,Button.left,True,False
1734362861.4995787,285,569,Button.left,False,False
1734362861.6285336,306,550,Button.left,True,False
1734362861.7479315,308,547,Button.left,False,False
1734362861.86047,300,528,Button.left,True,False
1734362861.963608,292,532,Button.left,False,False
1734362862.1206603,283,547,Button.left,True,False
1734362862.2123957,283,556,Button.left,False,False
1734362862.3161166,287,558,Button.left,True,False
1734362862.420071,296,565,Button.left,False,False
1734362862.5725152,307,565,Button.left,True,False
1734362862.6703262,309,564,Button.left,False,False
1734362862.7807167,308,560,Button.left,True,False
1734362862.9084964,299,569,Button.left,False,False
1734362863.0320036,292,580,Button.left,True,False
1734362863.1508498,287,591,Button.left,False,False
1734362863.2685528,287,591,Button.left,True,False
1734362863.348196,285,591,Button.left,False,False
1734362863.466392,278,590,Button.left,True,False
1734362863.5644498,267,590,Button.left,False,False
1734362863.721647,244,568,Button.left,True,False
1734362863.8122752,242,564,Button.left,False,False
